species,label,requirement,joint_prob,threshold,pass
Arnica montana,SunnyNeutral,"L=high,M=med,R=med",0.0022,0.6,FALSE
Artemisia campestris,SunnyNeutral,"L=high,M=med,R=med",0.0069,0.6,FALSE
Asarum europaeum,SunnyNeutral,"L=high,M=med,R=med",0,0.6,FALSE
Bromus catharticus,SunnyNeutral,"L=high,M=med,R=med",0,0.6,FALSE
Carex pilulifera,SunnyNeutral,"L=high,M=med,R=med",0.00665,0.6,FALSE
Cryptomeria japonica,SunnyNeutral,"L=high,M=med,R=med",7e-4,0.6,FALSE
Gymnadenia conopsea,SunnyNeutral,"L=high,M=med,R=med",0,0.6,FALSE
Helianthus tuberosus,SunnyNeutral,"L=high,M=med,R=med",5e-5,0.6,FALSE
Laserpitium latifolium,SunnyNeutral,"L=high,M=med,R=med",0,0.6,FALSE
Lepidium ruderale,SunnyNeutral,"L=high,M=med,R=med",0.06645,0.6,FALSE
Persicaria amphibia,SunnyNeutral,"L=high,M=med,R=med",0.00425,0.6,FALSE
Pinus densiflora,SunnyNeutral,"L=high,M=med,R=med",0.00445,0.6,FALSE
Pinus ponderosa,SunnyNeutral,"L=high,M=med,R=med",0.00355,0.6,FALSE
Pistacia lentiscus,SunnyNeutral,"L=high,M=med,R=med",0.2958,0.6,FALSE
Polygonum aviculare,SunnyNeutral,"L=high,M=med,R=med",0.00335,0.6,FALSE
Potentilla aurea,SunnyNeutral,"L=high,M=med,R=med",0,0.6,FALSE
Pulmonaria officinalis,SunnyNeutral,"L=high,M=med,R=med",0,0.6,FALSE
Quercus cerris,SunnyNeutral,"L=high,M=med,R=med",0.0247,0.6,FALSE
Ratibida pinnata,SunnyNeutral,"L=high,M=med,R=med",0,0.6,FALSE
Sequoia sempervirens,SunnyNeutral,"L=high,M=med,R=med",3e-4,0.6,FALSE
Seseli montanum,SunnyNeutral,"L=high,M=med,R=med",0,0.6,FALSE
Tsuga canadensis,SunnyNeutral,"L=high,M=med,R=med",0.002,0.6,FALSE
Veronica filiformis,SunnyNeutral,"L=high,M=med,R=med",0.00875,0.6,FALSE
Arnica montana,ShadeWetAcidic,"L=low,M=high,R=low",0,0.6,FALSE
Artemisia campestris,ShadeWetAcidic,"L=low,M=high,R=low",5e-5,0.6,FALSE
Asarum europaeum,ShadeWetAcidic,"L=low,M=high,R=low",1.5e-4,0.6,FALSE
Bromus catharticus,ShadeWetAcidic,"L=low,M=high,R=low",0,0.6,FALSE
Carex pilulifera,ShadeWetAcidic,"L=low,M=high,R=low",0.00245,0.6,FALSE
Cryptomeria japonica,ShadeWetAcidic,"L=low,M=high,R=low",0.0017,0.6,FALSE
Gymnadenia conopsea,ShadeWetAcidic,"L=low,M=high,R=low",0,0.6,FALSE
Helianthus tuberosus,ShadeWetAcidic,"L=low,M=high,R=low",0,0.6,FALSE
Laserpitium latifolium,ShadeWetAcidic,"L=low,M=high,R=low",0,0.6,FALSE
Lepidium ruderale,ShadeWetAcidic,"L=low,M=high,R=low",1e-4,0.6,FALSE
Persicaria amphibia,ShadeWetAcidic,"L=low,M=high,R=low",3e-4,0.6,FALSE
Pinus densiflora,ShadeWetAcidic,"L=low,M=high,R=low",4e-4,0.6,FALSE
Pinus ponderosa,ShadeWetAcidic,"L=low,M=high,R=low",1e-4,0.6,FALSE
Pistacia lentiscus,ShadeWetAcidic,"L=low,M=high,R=low",0,0.6,FALSE
Polygonum aviculare,ShadeWetAcidic,"L=low,M=high,R=low",5.5e-4,0.6,FALSE
Potentilla aurea,ShadeWetAcidic,"L=low,M=high,R=low",0.00405,0.6,FALSE
Pulmonaria officinalis,ShadeWetAcidic,"L=low,M=high,R=low",5e-5,0.6,FALSE
Quercus cerris,ShadeWetAcidic,"L=low,M=high,R=low",1.5e-4,0.6,FALSE
Ratibida pinnata,ShadeWetAcidic,"L=low,M=high,R=low",0,0.6,FALSE
Sequoia sempervirens,ShadeWetAcidic,"L=low,M=high,R=low",0.00275,0.6,FALSE
Seseli montanum,ShadeWetAcidic,"L=low,M=high,R=low",0,0.6,FALSE
Tsuga canadensis,ShadeWetAcidic,"L=low,M=high,R=low",0.0055,0.6,FALSE
Veronica filiformis,ShadeWetAcidic,"L=low,M=high,R=low",0.001,0.6,FALSE
Arnica montana,PartialSunAverage,"L=med,M=med,R=med",0.00935,0.6,FALSE
Artemisia campestris,PartialSunAverage,"L=med,M=med,R=med",0.00145,0.6,FALSE
Asarum europaeum,PartialSunAverage,"L=med,M=med,R=med",0,0.6,FALSE
Bromus catharticus,PartialSunAverage,"L=med,M=med,R=med",0,0.6,FALSE
Carex pilulifera,PartialSunAverage,"L=med,M=med,R=med",0.1464,0.6,FALSE
Cryptomeria japonica,PartialSunAverage,"L=med,M=med,R=med",0.013,0.6,FALSE
Gymnadenia conopsea,PartialSunAverage,"L=med,M=med,R=med",0,0.6,FALSE
Helianthus tuberosus,PartialSunAverage,"L=med,M=med,R=med",1.5e-4,0.6,FALSE
Laserpitium latifolium,PartialSunAverage,"L=med,M=med,R=med",0,0.6,FALSE
Lepidium ruderale,PartialSunAverage,"L=med,M=med,R=med",0.0573,0.6,FALSE
Persicaria amphibia,PartialSunAverage,"L=med,M=med,R=med",0.03005,0.6,FALSE
Pinus densiflora,PartialSunAverage,"L=med,M=med,R=med",0.00705,0.6,FALSE
Pinus ponderosa,PartialSunAverage,"L=med,M=med,R=med",0.00225,0.6,FALSE
Pistacia lentiscus,PartialSunAverage,"L=med,M=med,R=med",0.0092,0.6,FALSE
Polygonum aviculare,PartialSunAverage,"L=med,M=med,R=med",0.17035,0.6,FALSE
Potentilla aurea,PartialSunAverage,"L=med,M=med,R=med",0.00565,0.6,FALSE
Pulmonaria officinalis,PartialSunAverage,"L=med,M=med,R=med",5e-5,0.6,FALSE
Quercus cerris,PartialSunAverage,"L=med,M=med,R=med",0.0806,0.6,FALSE
Ratibida pinnata,PartialSunAverage,"L=med,M=med,R=med",0,0.6,FALSE
Sequoia sempervirens,PartialSunAverage,"L=med,M=med,R=med",0.00835,0.6,FALSE
Seseli montanum,PartialSunAverage,"L=med,M=med,R=med",0,0.6,FALSE
Tsuga canadensis,PartialSunAverage,"L=med,M=med,R=med",0.0233,0.6,FALSE
Veronica filiformis,PartialSunAverage,"L=med,M=med,R=med",0.14145,0.6,FALSE
Arnica montana,WarmNeutralFertile,"T=high,R=med,N=high",3e-4,0.6,FALSE
Artemisia campestris,WarmNeutralFertile,"T=high,R=med,N=high",4e-4,0.6,FALSE
Asarum europaeum,WarmNeutralFertile,"T=high,R=med,N=high",2e-4,0.6,FALSE
Bromus catharticus,WarmNeutralFertile,"T=high,R=med,N=high",0,0.6,FALSE
Carex pilulifera,WarmNeutralFertile,"T=high,R=med,N=high",2.5e-4,0.6,FALSE
Cryptomeria japonica,WarmNeutralFertile,"T=high,R=med,N=high",0.1032,0.6,FALSE
Gymnadenia conopsea,WarmNeutralFertile,"T=high,R=med,N=high",0,0.6,FALSE
Helianthus tuberosus,WarmNeutralFertile,"T=high,R=med,N=high",0,0.6,FALSE
Laserpitium latifolium,WarmNeutralFertile,"T=high,R=med,N=high",0,0.6,FALSE
Lepidium ruderale,WarmNeutralFertile,"T=high,R=med,N=high",1e-4,0.6,FALSE
Persicaria amphibia,WarmNeutralFertile,"T=high,R=med,N=high",5e-5,0.6,FALSE
Pinus densiflora,WarmNeutralFertile,"T=high,R=med,N=high",0.1312,0.6,FALSE
Pinus ponderosa,WarmNeutralFertile,"T=high,R=med,N=high",0.13705,0.6,FALSE
Pistacia lentiscus,WarmNeutralFertile,"T=high,R=med,N=high",0.0138,0.6,FALSE
Polygonum aviculare,WarmNeutralFertile,"T=high,R=med,N=high",4.5e-4,0.6,FALSE
Potentilla aurea,WarmNeutralFertile,"T=high,R=med,N=high",5e-5,0.6,FALSE
Pulmonaria officinalis,WarmNeutralFertile,"T=high,R=med,N=high",5e-5,0.6,FALSE
Quercus cerris,WarmNeutralFertile,"T=high,R=med,N=high",0.02975,0.6,FALSE
Ratibida pinnata,WarmNeutralFertile,"T=high,R=med,N=high",0,0.6,FALSE
Sequoia sempervirens,WarmNeutralFertile,"T=high,R=med,N=high",0.1575,0.6,FALSE
Seseli montanum,WarmNeutralFertile,"T=high,R=med,N=high",0,0.6,FALSE
Tsuga canadensis,WarmNeutralFertile,"T=high,R=med,N=high",0.10405,0.6,FALSE
Veronica filiformis,WarmNeutralFertile,"T=high,R=med,N=high",1e-4,0.6,FALSE
Arnica montana,DryPoorSun,"L=high,M=low,N=low",0,0.6,FALSE
Artemisia campestris,DryPoorSun,"L=high,M=low,N=low",0,0.6,FALSE
Asarum europaeum,DryPoorSun,"L=high,M=low,N=low",0,0.6,FALSE
Bromus catharticus,DryPoorSun,"L=high,M=low,N=low",0,0.6,FALSE
Carex pilulifera,DryPoorSun,"L=high,M=low,N=low",5e-5,0.6,FALSE
Cryptomeria japonica,DryPoorSun,"L=high,M=low,N=low",0,0.6,FALSE
Gymnadenia conopsea,DryPoorSun,"L=high,M=low,N=low",0,0.6,FALSE
Helianthus tuberosus,DryPoorSun,"L=high,M=low,N=low",0,0.6,FALSE
Laserpitium latifolium,DryPoorSun,"L=high,M=low,N=low",0,0.6,FALSE
Lepidium ruderale,DryPoorSun,"L=high,M=low,N=low",0,0.6,FALSE
Persicaria amphibia,DryPoorSun,"L=high,M=low,N=low",0,0.6,FALSE
Pinus densiflora,DryPoorSun,"L=high,M=low,N=low",0,0.6,FALSE
Pinus ponderosa,DryPoorSun,"L=high,M=low,N=low",0,0.6,FALSE
Pistacia lentiscus,DryPoorSun,"L=high,M=low,N=low",0.00415,0.6,FALSE
Polygonum aviculare,DryPoorSun,"L=high,M=low,N=low",0,0.6,FALSE
Potentilla aurea,DryPoorSun,"L=high,M=low,N=low",0,0.6,FALSE
Pulmonaria officinalis,DryPoorSun,"L=high,M=low,N=low",0,0.6,FALSE
Quercus cerris,DryPoorSun,"L=high,M=low,N=low",0,0.6,FALSE
Ratibida pinnata,DryPoorSun,"L=high,M=low,N=low",0,0.6,FALSE
Sequoia sempervirens,DryPoorSun,"L=high,M=low,N=low",0,0.6,FALSE
Seseli montanum,DryPoorSun,"L=high,M=low,N=low",0,0.6,FALSE
Tsuga canadensis,DryPoorSun,"L=high,M=low,N=low",0,0.6,FALSE
Veronica filiformis,DryPoorSun,"L=high,M=low,N=low",5e-5,0.6,FALSE
