species,L_pred,T_pred,M_pred,R_pred,N_pred,source,L_bin,L_borderline,L_confidence,L_recommendation,L_notes,T_bin,T_borderline,T_confidence,T_recommendation,T_notes,M_bin,M_borderline,M_confidence,M_recommendation,M_notes,R_bin,R_borderline,R_confidence,R_recommendation,R_notes,N_bin,N_borderline,N_confidence,N_recommendation,N_notes
Acer saccharum,4.697133772399164,6.504349732798314,7.513792543615456,7.694162332258281,11.690292194471466,MAG,med,FALSE,medium,Partial Sun,,high,TRUE,low,Warm Climate,borderline,high,FALSE,high,Requires Wet Soil,high_model_reliability,high,FALSE,low,Alkaline Soil,low_model_reliability,high,FALSE,high,Requires Fertile Soil,high_model_reliability
Agropyron cristatum,7.810688031996989,4.41401153421027,5.0432227298871855,6.692953768107272,5.143564496348803,MAG,high,FALSE,medium,Full Sun,,med,FALSE,medium,Temperate,,med,FALSE,high,Average Moisture,high_model_reliability,high,TRUE,very_low,Alkaline Soil,borderline; low_model_reliability,med,FALSE,high,Average/Rich Soil,high_model_reliability
Agrostis hyemalis,7.747258225063562,3.599350599628141,7.065629998051782,6.534846054497592,6.41929138104587,MAG,high,FALSE,medium,Full Sun,,med,TRUE,low,Temperate,borderline,high,FALSE,high,Requires Wet Soil,high_model_reliability,high,TRUE,very_low,Alkaline Soil,borderline; low_model_reliability,med,TRUE,medium,Average/Rich Soil,borderline; high_model_reliability
Ambrosia tenuifolia,7.896775339225241,4.497070000437856,6.310639838189891,7.532778506119808,7.75356515484867,MAG,high,FALSE,medium,Full Sun,,med,FALSE,medium,Temperate,,med,TRUE,medium,Average Moisture,borderline; high_model_reliability,high,FALSE,low,Alkaline Soil,low_model_reliability,high,FALSE,high,Requires Fertile Soil,high_model_reliability
Betula alleghaniensis,4.127585302393066,5.378307898047637,8.666891193291397,7.304422599597153,11.76039371477716,MAG,med,FALSE,medium,Partial Sun,,med,FALSE,medium,Temperate,,high,FALSE,high,Requires Wet Soil,high_model_reliability,high,FALSE,low,Alkaline Soil,low_model_reliability,high,FALSE,high,Requires Fertile Soil,high_model_reliability
Carex digitata,6.318980703714675,3.8799287171567585,5.744893868840272,7.1329412064855795,6.6670359159340515,MAG,med,TRUE,low,Partial Sun,borderline,med,TRUE,low,Temperate,borderline,med,FALSE,high,Average Moisture,high_model_reliability,high,FALSE,low,Alkaline Soil,low_model_reliability,high,TRUE,medium,Requires Fertile Soil,borderline; high_model_reliability
Cryptomeria japonica,5.638071020604305,6.3273722906133285,8.140107129394572,6.776193722672404,8.637963507390264,MAG,med,FALSE,medium,Partial Sun,,med,TRUE,low,Temperate,borderline,high,FALSE,high,Requires Wet Soil,high_model_reliability,high,TRUE,very_low,Alkaline Soil,borderline; low_model_reliability,high,FALSE,high,Requires Fertile Soil,high_model_reliability
Fraxinus mandshurica,5.484279186471979,6.504971680210499,7.935190539590143,7.972857546601463,12.334744155092332,MAG,med,FALSE,medium,Partial Sun,,high,TRUE,low,Warm Climate,borderline,high,FALSE,high,Requires Wet Soil,high_model_reliability,high,FALSE,low,Alkaline Soil,low_model_reliability,high,FALSE,high,Requires Fertile Soil,high_model_reliability
Maackia amurensis,5.822428910638334,5.88264140935757,6.362698756594445,7.428481871761058,10.37548934769381,MAG,med,FALSE,medium,Partial Sun,,med,FALSE,medium,Temperate,,med,TRUE,medium,Average Moisture,borderline; high_model_reliability,high,FALSE,low,Alkaline Soil,low_model_reliability,high,FALSE,high,Requires Fertile Soil,high_model_reliability
Melia azedarach,7.69210597850251,7.09386128996725,6.1277417499775915,7.834450855571009,9.891207121494809,MAG,high,FALSE,medium,Full Sun,,high,FALSE,medium,Warm Climate,,med,TRUE,medium,Average Moisture,borderline; high_model_reliability,high,FALSE,low,Alkaline Soil,low_model_reliability,high,FALSE,high,Requires Fertile Soil,high_model_reliability
Picea glauca,6.336754336688313,6.098479558861206,7.508729231634472,6.521080410789164,7.399387241984258,MAG,med,TRUE,low,Partial Sun,borderline,med,TRUE,low,Temperate,borderline,high,FALSE,high,Requires Wet Soil,high_model_reliability,high,TRUE,very_low,Alkaline Soil,borderline; low_model_reliability,high,FALSE,high,Requires Fertile Soil,high_model_reliability
Picea mariana,6.589751124930911,5.863657284510223,7.873370327732512,6.506384711476063,6.794654078907607,MAG,high,TRUE,low,Full Sun,borderline,med,FALSE,medium,Temperate,,high,FALSE,high,Requires Wet Soil,high_model_reliability,high,TRUE,very_low,Alkaline Soil,borderline; low_model_reliability,high,TRUE,medium,Requires Fertile Soil,borderline; high_model_reliability
Pinus densiflora,6.649195977465026,6.566973573482985,7.833942383797549,6.901517637062259,8.135751652167498,MAG,high,TRUE,low,Full Sun,borderline,high,TRUE,low,Warm Climate,borderline,high,FALSE,high,Requires Wet Soil,high_model_reliability,high,TRUE,very_low,Alkaline Soil,borderline; low_model_reliability,high,FALSE,high,Requires Fertile Soil,high_model_reliability
Pinus ponderosa,6.766915548882651,6.915303226884875,7.790256340790872,7.201180705741615,8.60451387847267,MAG,high,TRUE,low,Full Sun,borderline,high,TRUE,low,Warm Climate,borderline,high,FALSE,high,Requires Wet Soil,high_model_reliability,high,FALSE,low,Alkaline Soil,low_model_reliability,high,FALSE,high,Requires Fertile Soil,high_model_reliability
Populus tremuloides,5.903023216902211,4.815412718352132,9.88131336573186,7.420531855372712,11.977534966252534,MAG,med,FALSE,medium,Partial Sun,,med,FALSE,medium,Temperate,,high,FALSE,high,Requires Wet Soil,high_model_reliability,high,FALSE,low,Alkaline Soil,low_model_reliability,high,FALSE,high,Requires Fertile Soil,high_model_reliability
Prunus pensylvanica,6.049242599929913,6.158020561893219,7.803979617793221,7.931817877915783,11.478548830453102,MAG,med,TRUE,low,Partial Sun,borderline,med,TRUE,low,Temperate,borderline,high,FALSE,high,Requires Wet Soil,high_model_reliability,high,FALSE,low,Alkaline Soil,low_model_reliability,high,FALSE,high,Requires Fertile Soil,high_model_reliability
Quercus alba,5.285396837453573,7.482290201879604,6.09454824188712,8.044980900290483,11.360319618576286,MAG,med,FALSE,medium,Partial Sun,,high,FALSE,medium,Warm Climate,,med,TRUE,medium,Average Moisture,borderline; high_model_reliability,high,FALSE,low,Alkaline Soil,low_model_reliability,high,FALSE,high,Requires Fertile Soil,high_model_reliability
Quercus macrocarpa,5.263177235399393,7.673611482284105,5.850667928099999,8.087166311978113,11.279925861529648,MAG,med,FALSE,medium,Partial Sun,,high,FALSE,medium,Warm Climate,,med,FALSE,high,Average Moisture,high_model_reliability,high,FALSE,low,Alkaline Soil,low_model_reliability,high,FALSE,high,Requires Fertile Soil,high_model_reliability
Quercus mongolica,5.336973798766328,7.382760056105493,6.59657074568557,8.056348000595964,11.643693337024684,MAG,med,FALSE,medium,Partial Sun,,high,FALSE,medium,Warm Climate,,high,TRUE,medium,Requires Wet Soil,borderline; high_model_reliability,high,FALSE,low,Alkaline Soil,low_model_reliability,high,FALSE,high,Requires Fertile Soil,high_model_reliability
Ribes divaricatum,5.291635688960044,4.807440160165628,6.222462158822772,6.926050540958647,8.435065851805675,MAG,med,FALSE,medium,Partial Sun,,med,FALSE,medium,Temperate,,med,TRUE,medium,Average Moisture,borderline; high_model_reliability,high,TRUE,very_low,Alkaline Soil,borderline; low_model_reliability,high,FALSE,high,Requires Fertile Soil,high_model_reliability
Sequoia sempervirens,5.659990919339995,6.727495841999212,8.352441981059654,6.704620612279427,8.75926364279574,MAG,med,FALSE,medium,Partial Sun,,high,TRUE,low,Warm Climate,borderline,high,FALSE,high,Requires Wet Soil,high_model_reliability,high,TRUE,very_low,Alkaline Soil,borderline; low_model_reliability,high,FALSE,high,Requires Fertile Soil,high_model_reliability
Sequoiadendron giganteum,4.982584665359475,7.056436145976547,7.642013389309112,6.101897384790052,5.244320718279351,MAG,med,FALSE,medium,Partial Sun,,high,FALSE,medium,Warm Climate,,high,FALSE,high,Requires Wet Soil,high_model_reliability,med,TRUE,very_low,Neutral Soil,borderline; low_model_reliability,med,FALSE,high,Average/Rich Soil,high_model_reliability
Tsuga canadensis,5.784740263758927,6.075773939431487,7.537551661680603,6.614756292200248,8.14605976256874,MAG,med,FALSE,medium,Partial Sun,,med,TRUE,low,Temperate,borderline,high,FALSE,high,Requires Wet Soil,high_model_reliability,high,TRUE,very_low,Alkaline Soil,borderline; low_model_reliability,high,FALSE,high,Requires Fertile Soil,high_model_reliability
